date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:02	1306/1306	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:36%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/eu.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/eu.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:02	250/250	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-eng.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-eng.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:03	255/255	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:34%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-eng.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-eng.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:04	34177/34177	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-nir.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-nir.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:04	35407/35407	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:34%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-nir.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-nir.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:41	246/246	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:34%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-sct.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-sct.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:42	14489/14489	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-wls.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/gb-wls.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:43	14313/14313	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:34%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-wls.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/gb-wls.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:44	31016/31016	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:00%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/un.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/un.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:44	32146/32146	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/un.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/un.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:30:44	1891/1891	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2019:06:54%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-forgot-password.html	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-forgot-password.html	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signin.html)
11:30:54	10642/10642	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:22%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/kh.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/kh.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
